words,len,purp_adj
pooled,1,
recreation,1,parksrec
"certificates,",1,
2007,1,
obli,1,
ta,1,
(callable),1,
deer,1,
services,1,
"bemidji,",1,
"athol,",1,
"barrington,",1,
lighthouse,1,parksrec
"euless,",1,
rapids,1,
"newton,",1,
jefferson,1,
paving,1,
"bellevue,",1,
"plainfield,",1,
"lawton,",1,
installment,1,
"forest,",1,
"salem,",1,
aquarium,1,parksrec
department,1,
"portage,",1,
"niles,",1,
ser,1,
"elkhorn,",1,
"inman,",1,
certific,1,
neck,1,
"saline,",1,
acquisiton,1,
"manor,",1,
"jackson,",1,
"stewartville,",1,
genera,1,
securities,1,
"chanhassen,",1,
"springfield,",1,
arkansas,1,
"newburyport,",1,
winchester,1,
"brainerd,",1,
obligation),1,
qualified),1,
debt,1,
"longport,",1,
2017,1,
"franklin,",1,
iowa,1,
"prospect,",1,
"boulder,",1,
"middlebury,",1,
le,1,
"islip,",1,
aquatic,1,parksrec
evergreen,1,
short-term,1,
"countryside,",1,
"southampton,",1,
cortlandville,1,
"peter,",1,
generals,1,
b,1,
fd,1,
grove,1,
pla,1,
"aslip,",1,
permant,1,
admin.,1,
"brookline,",1,
hanover,1,
"nantucket,",1,
"heights,",1,
"ridgeland,",1,
"haverstraw,",1,
simsbury,1,
"weston,",1,
mchenry,1,
(cib),1,
federal,1,
"sidewalk,",1,transport
(urban,1,
"arrow,",1,
"shawnee,",1,
obligatin,1,
water-sewer,1,wtrswr
cottage,1,
2020,1,
plumstead,1,
"anthony,",1,
corp,1,
"northampton,",1,
versailles,1,
"diller,",1,
"harwich,",1,
"needham,",1,
plant,1,
short-ter,1,
"riverhead,",1,
contracutal,1,
"haledon,",1,
"tisbury,",1,
estate,1,
"charles,",1,
"windsor,",1,
(town,1,
"pittsburg,",1,
princeton,1,
"bristol,",1,
"ames,",1,
"falmouth,",1,
"sharon,",1,
"glenwood,",1,
"church,",1,
"moorhead,",1,
"gothenburg,",1,
great,1,
"purposes),",1,
"sutton,",1,
"blair,",1,
burlington,1,
appeal,1,
"brookfield,",1,
"neenah,",1,
six,1,
"osseo,",1,
sun,1,
purpose),1,
parks,1,parksrec
waterworks,1,wtrswr
statutory,1,
"burleson,",1,
6,1,
"sewer,",1,wtrswr
fort,1,
"florida,",1,
"frankenmuth,",1,
revolvin,1,
purpse,1,
phase,1,
obliation,1,
purposes),1,
waterand,1,wtrswr
intercept,1,
