event_type,event_time,estimate,standard_error,conf_low,conf_high,observations,cities,estimand
Bond election,-18,0.904692082111437,0.450029913162711,0.0226334523125229,1.78675071191035,682,119,Raw mean monthly article count
Bond election,-17,1.49266862170088,0.972787534195258,-0.413994945321826,3.39933218872359,682,119,Raw mean monthly article count
Bond election,-16,1.42228739002933,0.816264634221197,-0.177591293044221,3.02216607310287,682,119,Raw mean monthly article count
Bond election,-15,1.11143695014663,0.683789956655834,-0.228791364898807,2.45166526519206,682,119,Raw mean monthly article count
Bond election,-14,0.658357771260997,0.418841352666695,-0.162571279965725,1.47928682248772,682,119,Raw mean monthly article count
Bond election,-13,0.804985337243402,0.486736408343695,-0.14901802311024,1.75898869759704,682,119,Raw mean monthly article count
Bond election,-12,0.956011730205279,0.486115079746079,0.00322617390296331,1.90879728650759,682,119,Raw mean monthly article count
Bond election,-11,1.06451612903226,0.627695250069037,-0.165766561103055,2.29479881916757,682,119,Raw mean monthly article count
Bond election,-10,1.15102639296188,0.642153013974783,-0.107593514428698,2.40964630035245,682,119,Raw mean monthly article count
Bond election,-9,1.08211143695015,0.656487577236676,-0.204604214433739,2.36882708833403,682,119,Raw mean monthly article count
Bond election,-8,0.755131964809384,0.391948964195039,-0.0130880050128916,1.52335193463166,682,119,Raw mean monthly article count
Bond election,-7,1.0733137829912,0.49877005886945,0.0957244676070795,2.05090309837533,682,119,Raw mean monthly article count
Bond election,-6,1.82991202346041,1.11989341030665,-0.365079060740621,4.02490310766144,682,119,Raw mean monthly article count
Bond election,-5,1.21407624633431,0.639173806582868,-0.0387044145681101,2.46685690723673,682,119,Raw mean monthly article count
Bond election,-4,1.01906158357771,0.413874538525305,0.207867488068115,1.83025567908731,682,119,Raw mean monthly article count
Bond election,-3,1.00293255131965,0.465627476869621,0.0903026966551904,1.91556240598411,682,119,Raw mean monthly article count
Bond election,-2,0.634897360703812,0.399129650913717,-0.147396755087072,1.4171914764947,682,119,Raw mean monthly article count
Bond election,-1,1.41055718475073,0.69027736736333,0.0576135447186068,2.76350082478286,682,119,Raw mean monthly article count
Bond election,0,1.40175953079179,0.843257829105982,-0.251025814255937,3.05454487583951,682,119,Raw mean monthly article count
Bond election,1,0.651026392961877,0.394845041298344,-0.122869887982877,1.42492267390663,682,119,Raw mean monthly article count
Bond election,2,0.772727272727273,0.452757287487552,-0.114677010748329,1.66013155620287,682,119,Raw mean monthly article count
Bond election,3,1.0058651026393,0.595037007369958,-0.160407431805822,2.17213763708441,682,119,Raw mean monthly article count
Bond election,4,0.420821114369501,0.244081820204612,-0.0575792532315375,0.899221481970541,682,119,Raw mean monthly article count
Bond election,5,1.08797653958944,0.628524537839409,-0.1439315545758,2.31988463375469,682,119,Raw mean monthly article count
Bond election,6,1.2375366568915,0.776737768370909,-0.284869369115486,2.75994268289848,682,119,Raw mean monthly article count
Bond election,7,1.09090909090909,0.764815632090525,-0.408129547988338,2.58994772980652,682,119,Raw mean monthly article count
Bond election,8,1.55131964809384,0.889440783313629,-0.191984287200871,3.29462358338855,682,119,Raw mean monthly article count
Bond election,9,0.978005865102639,0.550832043911193,-0.101624940963299,2.05763667116858,682,119,Raw mean monthly article count
Bond election,10,0.904692082111437,0.550157740341485,-0.173617088957873,1.98300125318075,682,119,Raw mean monthly article count
Bond election,11,1.10117302052786,0.703723294950178,-0.278124637574489,2.48047067863021,682,119,Raw mean monthly article count
Bond election,12,0.93841642228739,0.484953847587728,-0.0120931189845576,1.88892596355934,682,119,Raw mean monthly article count
Bond election,13,0.523460410557185,0.270156541113663,-0.00604641002559447,1.05296723113996,682,119,Raw mean monthly article count
Bond election,14,0.970674486803519,0.55421788958542,-0.115592576783903,2.05694155039094,682,119,Raw mean monthly article count
Bond election,15,1.02932551319648,0.467141865933134,0.113727455967539,1.94492357042542,682,119,Raw mean monthly article count
Bond election,16,0.668621700879765,0.321976546092053,0.0375476705393424,1.29969573122019,682,119,Raw mean monthly article count
Bond election,17,0.972140762463343,0.57640530177856,-0.157613629022635,2.10189515394932,682,119,Raw mean monthly article count
Bond election,18,1.43695014662757,0.811573733153976,-0.153734370354226,3.02763466360936,682,119,Raw mean monthly article count
GO bond issuance,-18,0.566473988439307,0.448009752669191,-0.311625126792308,1.44457310367092,346,101,Raw mean monthly article count
GO bond issuance,-17,0.560693641618497,0.306791908168318,-0.0406184983914061,1.1620057816284,346,101,Raw mean monthly article count
GO bond issuance,-16,0.569364161849711,0.446949327369193,-0.306656519793907,1.44538484349333,346,101,Raw mean monthly article count
GO bond issuance,-15,0.684971098265896,0.519483428494725,-0.333216421583765,1.70315861811556,346,101,Raw mean monthly article count
GO bond issuance,-14,0.88150289017341,0.654054570823191,-0.400444068640044,2.16344984898687,346,101,Raw mean monthly article count
GO bond issuance,-13,0.664739884393064,0.436809578833739,-0.191406890121065,1.52088665890719,346,101,Raw mean monthly article count
GO bond issuance,-12,0.88150289017341,0.672862191173089,-0.437307004525844,2.20031278487267,346,101,Raw mean monthly article count
GO bond issuance,-11,0.430635838150289,0.302201264701685,-0.161678640665014,1.02295031696559,346,101,Raw mean monthly article count
GO bond issuance,-10,0.667630057803468,0.441523383020567,-0.197755772916844,1.53301588852378,346,101,Raw mean monthly article count
GO bond issuance,-9,0.502890173410405,0.334862916501344,-0.153441142932229,1.15922148975304,346,101,Raw mean monthly article count
GO bond issuance,-8,0.364161849710983,0.207695642127118,-0.042921608858168,0.771245308280133,346,101,Raw mean monthly article count
GO bond issuance,-7,0.445086705202312,0.281935390911521,-0.107506660984269,0.997680071388893,346,101,Raw mean monthly article count
GO bond issuance,-6,0.635838150289017,0.528358666559807,-0.399744836168205,1.67142113674624,346,101,Raw mean monthly article count
GO bond issuance,-5,0.390173410404624,0.259546854571046,-0.118538424554627,0.898885245363875,346,101,Raw mean monthly article count
GO bond issuance,-4,0.682080924855491,0.500276735923746,-0.298461477555051,1.66262332726603,346,101,Raw mean monthly article count
GO bond issuance,-3,0.673410404624278,0.485633854506131,-0.278431950207739,1.62525275945629,346,101,Raw mean monthly article count
GO bond issuance,-2,0.789017341040462,0.697297036024974,-0.577684849568486,2.15571953164941,346,101,Raw mean monthly article count
GO bond issuance,-1,0.745664739884393,0.548204403538335,-0.328815891050744,1.82014537081953,346,101,Raw mean monthly article count
GO bond issuance,0,0.867052023121387,0.496830585094039,-0.106735923662929,1.8408399699057,346,101,Raw mean monthly article count
GO bond issuance,1,0.632947976878613,0.485375227796471,-0.318387469602471,1.5842834233597,346,101,Raw mean monthly article count
GO bond issuance,2,0.549132947976879,0.452708720551755,-0.33817614430456,1.43644204025832,346,101,Raw mean monthly article count
GO bond issuance,3,0.528901734104046,0.419777950478175,-0.293863048833177,1.35166651704127,346,101,Raw mean monthly article count
GO bond issuance,4,0.38728323699422,0.215396572345966,-0.0348940448038746,0.809460518792314,346,101,Raw mean monthly article count
GO bond issuance,5,0.517341040462428,0.363640680785498,-0.195394693877148,1.230076774802,346,101,Raw mean monthly article count
GO bond issuance,6,0.563583815028902,0.394006756960154,-0.208669428613,1.3358370586708,346,101,Raw mean monthly article count
GO bond issuance,7,0.526011560693642,0.370431941239227,-0.200035044135244,1.25205816552253,346,101,Raw mean monthly article count
GO bond issuance,8,0.708092485549133,0.565161389364576,-0.399623837605436,1.8158088087037,346,101,Raw mean monthly article count
GO bond issuance,9,0.936416184971098,0.644402313472741,-0.326612349435473,2.19944471937767,346,101,Raw mean monthly article count
GO bond issuance,10,0.76878612716763,0.652620158498592,-0.510349383489611,2.04792163782487,346,101,Raw mean monthly article count
GO bond issuance,11,0.947976878612717,0.706897556868124,-0.437542332848806,2.33349609007424,346,101,Raw mean monthly article count
GO bond issuance,12,0.690751445086705,0.46969284598341,-0.229846533040779,1.61134942321419,346,101,Raw mean monthly article count
GO bond issuance,13,0.867052023121387,0.589755066677208,-0.28886790756594,2.02297195380872,346,101,Raw mean monthly article count
GO bond issuance,14,0.780346820809249,0.510734465488613,-0.220692731548432,1.78138637316693,346,101,Raw mean monthly article count
GO bond issuance,15,0.552023121387283,0.397247916143733,-0.226582794254433,1.330629037029,346,101,Raw mean monthly article count
GO bond issuance,16,0.592485549132948,0.318076561766244,-0.0309445119288894,1.21591561019479,346,101,Raw mean monthly article count
GO bond issuance,17,0.586705202312139,0.363460965125293,-0.125678289333436,1.29908869395771,346,101,Raw mean monthly article count
GO bond issuance,18,0.722543352601156,0.450379852175829,-0.160201157663468,1.60528786286578,346,101,Raw mean monthly article count
Bond election,-18,-0.161045943304008,0.211258592234878,-0.57511278408437,0.253020897476353,682,119,Article-count change from months -18 to -13
Bond election,-17,0.426930596285433,0.343516687785669,-0.246362111774477,1.10022330434534,682,119,Article-count change from months -18 to -13
Bond election,-16,0.35654936461388,0.190025315642452,-0.0159002540453266,0.728998983273086,682,119,Article-count change from months -18 to -13
Bond election,-15,0.0456989247311827,0.119142478824896,-0.187820333765614,0.279218183227979,682,119,Article-count change from months -18 to -13
Bond election,-14,-0.407380254154449,0.238353276712369,-0.874552676510691,0.0597921682017937,682,119,Article-count change from months -18 to -13
Bond election,-13,-0.260752688172042,0.153651242267315,-0.56190912301598,0.0404037466718958,682,119,Article-count change from months -18 to -13
Bond election,-12,-0.109726295210165,0.255017148607504,-0.609559906480873,0.390107316060543,682,119,Article-count change from months -18 to -13
Bond election,-11,-0.00122189638318696,0.331015562660967,-0.650012399198683,0.647568606432309,682,119,Article-count change from months -18 to -13
Bond election,-10,0.085288367546433,0.19187325807742,-0.29078321828531,0.461359953378176,682,119,Article-count change from months -18 to -13
Bond election,-9,0.0163734115347021,0.157809288693426,-0.292932794304413,0.325679617373817,682,119,Article-count change from months -18 to -13
Bond election,-8,-0.310606060606059,0.253302475547473,-0.807078912679107,0.185866791466989,682,119,Article-count change from months -18 to -13
Bond election,-7,0.00757575757575976,0.255395128893953,-0.492998695056388,0.508150210207907,682,119,Article-count change from months -18 to -13
Bond election,-6,0.764173998044968,0.652161882396706,-0.514063291452577,2.04241128754251,682,119,Article-count change from months -18 to -13
Bond election,-5,0.148338220918866,0.0734954711906211,0.0042870973852486,0.292389344452483,682,119,Article-count change from months -18 to -13
Bond election,-4,-0.0466764418377335,0.33509049962546,-0.703453821103636,0.610100937428169,682,119,Article-count change from months -18 to -13
Bond election,-3,-0.0628054740957971,0.213523404548549,-0.481311347010954,0.35570039881936,682,119,Article-count change from months -18 to -13
Bond election,-2,-0.430840664711631,0.296954662070558,-1.01287180236992,0.151190472946663,682,119,Article-count change from months -18 to -13
Bond election,-1,0.34481915933529,0.152811030549109,0.0453095394590369,0.644328779211543,682,119,Article-count change from months -18 to -13
Bond election,0,0.336021505376342,0.223409487585643,-0.101861090291519,0.773904101044202,682,119,Article-count change from months -18 to -13
Bond election,1,-0.414711632453568,0.245216795482387,-0.895336551599046,0.0659132866919104,682,119,Article-count change from months -18 to -13
Bond election,2,-0.293010752688172,0.192695812200893,-0.670694544601922,0.0846730392255787,682,119,Article-count change from months -18 to -13
Bond election,3,-0.0598729227761486,0.129839826406255,-0.314358982532409,0.194613136980112,682,119,Article-count change from months -18 to -13
Bond election,4,-0.644916911045943,0.398181778976719,-1.42535319784031,0.135519375748427,682,119,Article-count change from months -18 to -13
Bond election,5,0.0222385141739978,0.136961630961151,-0.246206282509858,0.290683310857854,682,119,Article-count change from months -18 to -13
Bond election,6,0.171798631476048,0.373840094279379,-0.560927953311535,0.904525216263632,682,119,Article-count change from months -18 to -13
Bond election,7,0.0251710654936455,0.339040760382581,-0.639348824856212,0.689690955843503,682,119,Article-count change from months -18 to -13
Bond election,8,0.485581622678399,0.376578395666372,-0.252512032827689,1.22367527818449,682,119,Article-count change from months -18 to -13
Bond election,9,-0.0877321603128056,0.133773080092734,-0.349927397294564,0.174463076668953,682,119,Article-count change from months -18 to -13
Bond election,10,-0.161045943304008,0.10101563277146,-0.35903658353607,0.0369446969280542,682,119,Article-count change from months -18 to -13
Bond election,11,0.0354349951124154,0.295971144090097,-0.544668447304175,0.615538437529006,682,119,Article-count change from months -18 to -13
Bond election,12,-0.127321603128055,0.18003096796499,-0.480182300339435,0.225539094083325,682,119,Article-count change from months -18 to -13
Bond election,13,-0.542277614858263,0.379776537834038,-1.28663962901298,0.202084399296452,682,119,Article-count change from months -18 to -13
Bond election,14,-0.0950635386119268,0.123558207751242,-0.33723762580436,0.147110548580507,682,119,Article-count change from months -18 to -13
Bond election,15,-0.0364125122189646,0.306688708279874,-0.637522380447518,0.564697356009588,682,119,Article-count change from months -18 to -13
Bond election,16,-0.397116324535679,0.340187702796812,-1.06388422201743,0.269651572946072,682,119,Article-count change from months -18 to -13
Bond election,17,-0.0935972629521015,0.106578062501952,-0.302490265455927,0.115295739551724,682,119,Article-count change from months -18 to -13
Bond election,18,0.37121212121212,0.247935982891004,-0.114742405254248,0.857166647678489,682,119,Article-count change from months -18 to -13
GO bond issuance,-18,-0.088150289017341,0.0291662410684592,-0.145316121511521,-0.030984456523161,346,101,Article-count change from months -18 to -13
GO bond issuance,-17,-0.0939306358381509,0.176311670843317,-0.439501510691052,0.25164023901475,346,101,Article-count change from months -18 to -13
GO bond issuance,-16,-0.0852601156069361,0.0394346679097962,-0.162552064710137,-0.00796816650373551,346,101,Article-count change from months -18 to -13
GO bond issuance,-15,0.0303468208092486,0.0615908215161379,-0.0903711893623817,0.151064830980879,346,101,Article-count change from months -18 to -13
GO bond issuance,-14,0.226878612716764,0.197325022732312,-0.159878431838567,0.613635657272095,346,101,Article-count change from months -18 to -13
GO bond issuance,-13,0.0101156069364161,0.0661275135718931,-0.119494319664494,0.139725533537327,346,101,Article-count change from months -18 to -13
GO bond issuance,-12,0.226878612716764,0.211948770611356,-0.188540977681494,0.642298203115021,346,101,Article-count change from months -18 to -13
GO bond issuance,-11,-0.223988439306359,0.170063618750205,-0.557313132056759,0.109336253444042,346,101,Article-count change from months -18 to -13
GO bond issuance,-10,0.0130057803468207,0.0676590817995798,-0.119606019980356,0.145617580673997,346,101,Article-count change from months -18 to -13
GO bond issuance,-9,-0.151734104046243,0.141254497176097,-0.428592918511393,0.125124710418906,346,101,Article-count change from months -18 to -13
GO bond issuance,-8,-0.290462427745664,0.266139780313994,-0.812096397161092,0.231171541669764,346,101,Article-count change from months -18 to -13
GO bond issuance,-7,-0.209537572254336,0.195656113391934,-0.593023554502526,0.173948409993854,346,101,Article-count change from months -18 to -13
GO bond issuance,-6,-0.0187861271676302,0.0755886521474586,-0.166939885376649,0.129367631041389,346,101,Article-count change from months -18 to -13
GO bond issuance,-5,-0.264450867052024,0.224103720893082,-0.703694160002465,0.174792425898417,346,101,Article-count change from months -18 to -13
GO bond issuance,-4,0.0274566473988439,0.0514312003621788,-0.0733485053110265,0.128261800108714,346,101,Article-count change from months -18 to -13
GO bond issuance,-3,0.0187861271676302,0.0509703295979073,-0.0811157188442681,0.118687973179528,346,101,Article-count change from months -18 to -13
GO bond issuance,-2,0.134393063583815,0.235848946584647,-0.327870871722093,0.596656998889723,346,101,Article-count change from months -18 to -13
GO bond issuance,-1,0.0910404624277458,0.0892663829527518,-0.0839216481596478,0.266002573015139,346,101,Article-count change from months -18 to -13
GO bond issuance,0,0.21242774566474,0.0684210878118717,0.0783224135534711,0.346533077776008,346,101,Article-count change from months -18 to -13
GO bond issuance,1,-0.0216763005780347,0.0390621166826618,-0.0982380492760519,0.0548854481199825,346,101,Article-count change from months -18 to -13
GO bond issuance,2,-0.105491329479769,0.037020646946485,-0.178051797494879,-0.0329308614646583,346,101,Article-count change from months -18 to -13
GO bond issuance,3,-0.125722543352601,0.057682842380538,-0.238780914418456,-0.0126641722867466,346,101,Article-count change from months -18 to -13
GO bond issuance,4,-0.267341040462429,0.258293375460844,-0.773596056365682,0.238913975440826,346,101,Article-count change from months -18 to -13
GO bond issuance,5,-0.13728323699422,0.110343091359675,-0.353555696059182,0.0789892220707422,346,101,Article-count change from months -18 to -13
GO bond issuance,6,-0.0910404624277455,0.0914480248208969,-0.270278591076703,0.0881976662212124,346,101,Article-count change from months -18 to -13
GO bond issuance,7,-0.128612716763005,0.114947612457061,-0.353910037178844,0.0966846036528332,346,101,Article-count change from months -18 to -13
GO bond issuance,8,0.0534682080924854,0.109021625329862,-0.160214177554044,0.267150593739015,346,101,Article-count change from months -18 to -13
GO bond issuance,9,0.28179190751445,0.186613802741886,-0.0839711458596457,0.647554960888546,346,101,Article-count change from months -18 to -13
GO bond issuance,10,0.114161849710983,0.192994501301989,-0.264107372840916,0.492431072262882,346,101,Article-count change from months -18 to -13
