event_type,event_bin,estimate,observations,cities
Bond election,-12 to -10,1.85777126099706,682,121
Bond election,-9 to -7,1.82844574780059,682,121
Bond election,-6 to -4,2.36850393700788,635,118
Bond election,-3 to -1,2.06929133858267,635,118
Bond election,Event (0 to 2),1.64193548387097,620,116
Bond election,3 to 5,1.61451612903225,620,116
Bond election,6 to 8,2.06129032258065,620,116
Bond election,9 to 11,1.94193548387096,620,116
GO bond issuance,-12 to -10,1.17054263565892,387,107
GO bond issuance,-9 to -7,1.0537084398977,391,107
GO bond issuance,-6 to -4,1.02284263959391,394,107
GO bond issuance,-3 to -1,1.1675,400,109
GO bond issuance,Event (0 to 2),1.29850746268657,402,109
GO bond issuance,3 to 5,1.08354430379746,395,108
GO bond issuance,6 to 8,0.9974293059126,389,108
GO bond issuance,9 to 11,1.2015503875969,387,107
