event_type,event_bin,estimate,standard_error,conf_low,conf_high,observations,cities
Bond election,-18 to -16,0.0977517106549366,0.0302850445977599,0.0383930232433271,0.157110398066546,682,119
Bond election,-15 to -13,0.0757575757575759,0.0298156252695251,0.0173189502293068,0.134196201285845,682,119
Bond election,-12 to -10,0.110459433040078,0.0304167719901651,0.0508425599393545,0.170076306140802,682,119
Bond election,-9 to -7,0.0957966764418375,0.0329275087977887,0.0312587591981716,0.160334593685503,682,119
Bond election,-6 to -4,0.13147605083089,0.0296138916488767,0.0734328231990912,0.189519278462688,682,119
Bond election,-3 to -1,0.117302052785924,0.0320632302448616,0.0544581215059951,0.180145984065853,682,119
Bond election,0,0.142228739002933,0.0503431105430478,0.0435562423385593,0.240901235667307,682,119
Bond election,1 to 3,0.0923753665689149,0.0364934570854549,0.0208481906814232,0.163902542456407,682,119
Bond election,4 to 6,0.109970674486804,0.039655916574104,0.03224507800156,0.187696270972047,682,119
Bond election,7 to 9,0.111925708699902,0.0422817091621664,0.0290535587420557,0.194797858657748,682,119
Bond election,10 to 12,0.105571847507331,0.0428832562837498,0.0215206651911817,0.189623029823481,682,119
Bond election,13 to 15,0.117790811339199,0.0432933463253795,0.0329358525414548,0.202645770136942,682,119
Bond election,16 to 18,0.126588465298143,0.0389545907655398,0.0502374673976846,0.202939463198601,682,119
GO bond issuance,-18 to -16,0.069364161849711,0.0242413470837913,0.0218511215654802,0.116877202133942,346,101
GO bond issuance,-15 to -13,0.0770712909441234,0.026451150375341,0.0252270362084551,0.128915545679792,346,101
GO bond issuance,-12 to -10,0.0895953757225435,0.0289347641614009,0.0328832379661976,0.146307513478889,346,101
GO bond issuance,-9 to -7,0.0818882466281309,0.0283988017210818,0.0262265952548105,0.137549898001451,346,101
GO bond issuance,-6 to -4,0.0867052023121386,0.0274813761568689,0.0328417050446756,0.140568699579602,346,101
GO bond issuance,-3 to -1,0.0809248554913294,0.0277654936570345,0.0265044879235417,0.135345223059117,346,101
GO bond issuance,0,0.135838150289017,0.033086803224851,0.0709880159683094,0.200688284609725,346,101
GO bond issuance,1 to 3,0.0818882466281309,0.030786824727007,0.0215460701631973,0.142230423093065,346,101
GO bond issuance,4 to 6,0.090558766859345,0.0282884862091256,0.0351133338894588,0.146004199829231,346,101
GO bond issuance,7 to 9,0.0847784200385357,0.0290312758627875,0.0278771193474723,0.141679720729599,346,101
GO bond issuance,10 to 12,0.092485549132948,0.0313160688308281,0.0311060542245249,0.153865044041371,346,101
GO bond issuance,13 to 15,0.0982658959537573,0.0325199397755277,0.034526813993723,0.162004977913792,346,101
GO bond issuance,16 to 18,0.0982658959537572,0.0318354193828155,0.0358684739634389,0.160663317944076,346,101
