event_type,event_time,estimate,standard_error,conf_low,conf_high,observations,cities,estimand
Bond election,-18,0.111436950146628,0.0346704998165775,0.0434827705061357,0.179391129787119,682,119,Raw monthly coverage probability
Bond election,-17,0.06158357771261,0.0309290726631456,0.000962595292844669,0.122204560132375,682,119,Raw monthly coverage probability
Bond election,-16,0.120234604105572,0.0353604026553984,0.050928214900991,0.189540993310153,682,119,Raw monthly coverage probability
Bond election,-15,0.0791788856304985,0.0327434670059988,0.015001690298741,0.143356080962256,682,119,Raw monthly coverage probability
Bond election,-14,0.0777126099706745,0.0312451998478997,0.0164720182687911,0.138953201672558,682,119,Raw monthly coverage probability
Bond election,-13,0.0703812316715543,0.0313211921295923,0.00899169509755336,0.131770768245555,682,119,Raw monthly coverage probability
Bond election,-12,0.102639296187683,0.0324473720476279,0.0390424469743326,0.166236145401034,682,119,Raw monthly coverage probability
Bond election,-11,0.114369501466276,0.0336483468214247,0.0484187416962833,0.180320261236268,682,119,Raw monthly coverage probability
Bond election,-10,0.114369501466276,0.0333837019172838,0.0489374457083994,0.179801557224152,682,119,Raw monthly coverage probability
Bond election,-9,0.0967741935483871,0.033234313346797,0.031634939388665,0.161913447708109,682,119,Raw monthly coverage probability
Bond election,-8,0.0894428152492669,0.031131635958288,0.0284248087710223,0.150460821727511,682,119,Raw monthly coverage probability
Bond election,-7,0.101173020527859,0.0429881689563341,0.0169162093734445,0.185429831682274,682,119,Raw monthly coverage probability
Bond election,-6,0.117302052785924,0.0318508024774682,0.0548744799300862,0.179729625641761,682,119,Raw monthly coverage probability
Bond election,-5,0.126099706744868,0.0320844039379612,0.0632142750264641,0.188985138463272,682,119,Raw monthly coverage probability
Bond election,-4,0.151026392961877,0.0352062609916821,0.0820221214181798,0.220030664505574,682,119,Raw monthly coverage probability
Bond election,-3,0.124633431085044,0.0316344663257676,0.0626298770865396,0.186636985083548,682,119,Raw monthly coverage probability
Bond election,-2,0.0967741935483871,0.0315279578051033,0.0349793962503847,0.15856899084639,682,119,Raw monthly coverage probability
Bond election,-1,0.13049853372434,0.0419732809819745,0.0482309029996701,0.21276616444901,682,119,Raw monthly coverage probability
Bond election,0,0.142228739002933,0.0503431105430479,0.0435562423385587,0.240901235667306,682,119,Raw monthly coverage probability
Bond election,1,0.0806451612903226,0.0311252520685763,0.0196396672359131,0.141650655344732,682,119,Raw monthly coverage probability
Bond election,2,0.092375366568915,0.0423620891464171,0.00934567184193748,0.175405061295892,682,119,Raw monthly coverage probability
Bond election,3,0.104105571847507,0.0424384390742891,0.0209262312619007,0.187284912433114,682,119,Raw monthly coverage probability
Bond election,4,0.104105571847507,0.0420756619821096,0.0216372743625725,0.186573869332442,682,119,Raw monthly coverage probability
Bond election,5,0.092375366568915,0.0319446439445338,0.0297638644376288,0.154986868700201,682,119,Raw monthly coverage probability
Bond election,6,0.133431085043988,0.0514039448120037,0.032679353212461,0.234182816875516,682,119,Raw monthly coverage probability
Bond election,7,0.0909090909090909,0.0412475661581638,0.0100638612390898,0.171754320579092,682,119,Raw monthly coverage probability
Bond election,8,0.134897360703812,0.0430815227207202,0.0504575761712006,0.219337145236424,682,119,Raw monthly coverage probability
Bond election,9,0.109970674486804,0.0503239827138869,0.0113356683675852,0.208605680606022,682,119,Raw monthly coverage probability
Bond election,10,0.0879765395894428,0.0428583204973702,0.00397423141459716,0.171978847764289,682,119,Raw monthly coverage probability
Bond election,11,0.111436950146628,0.0416476499128337,0.0298075563174736,0.193066343975782,682,119,Raw monthly coverage probability
Bond election,12,0.117302052785924,0.0500596470890048,0.0191851444914743,0.215418961080373,682,119,Raw monthly coverage probability
Bond election,13,0.0909090909090909,0.0428828971290472,0.00685861253615844,0.174959569282023,682,119,Raw monthly coverage probability
Bond election,14,0.131964809384164,0.0506168194649095,0.0327558432329415,0.231173775535387,682,119,Raw monthly coverage probability
Bond election,15,0.13049853372434,0.0438228331545478,0.0446057807414265,0.216391286707254,682,119,Raw monthly coverage probability
Bond election,16,0.153958944281525,0.0510005722349453,0.0539978227010322,0.253920065862018,682,119,Raw monthly coverage probability
Bond election,17,0.1158357771261,0.0433120455197127,0.0309441679074629,0.200727386344737,682,119,Raw monthly coverage probability
Bond election,18,0.109970674486804,0.032548376701365,0.0461758561521281,0.173765492821479,682,119,Raw monthly coverage probability
GO bond issuance,-18,0.0578034682080925,0.0254928290832005,0.00783752320501961,0.107769413211165,346,101,Raw monthly coverage probability
GO bond issuance,-17,0.0780346820809249,0.0263086196972815,0.0264697874742531,0.129599576687597,346,101,Raw monthly coverage probability
GO bond issuance,-16,0.0722543352601156,0.0241578816592273,0.02490488720803,0.119603783312201,346,101,Raw monthly coverage probability
GO bond issuance,-15,0.0722543352601156,0.0266203114195394,0.0200785248778185,0.124430145642413,346,101,Raw monthly coverage probability
GO bond issuance,-14,0.0780346820809249,0.031520949195683,0.0162536216573861,0.139815742504464,346,101,Raw monthly coverage probability
GO bond issuance,-13,0.0809248554913295,0.0261369974879053,0.0296963404150351,0.132153370567624,346,101,Raw monthly coverage probability
GO bond issuance,-12,0.104046242774566,0.0330523339030193,0.0392636683246487,0.168828817224484,346,101,Raw monthly coverage probability
GO bond issuance,-11,0.0722543352601156,0.0259355196580958,0.0214207167302478,0.123087953789983,346,101,Raw monthly coverage probability
GO bond issuance,-10,0.092485549132948,0.0317403971551089,0.0302743707089346,0.154696727556961,346,101,Raw monthly coverage probability
GO bond issuance,-9,0.0780346820809249,0.0320593892382231,0.0151982791740077,0.140871084987842,346,101,Raw monthly coverage probability
GO bond issuance,-8,0.0867052023121387,0.0285850575859784,0.030678489443621,0.142731915180657,346,101,Raw monthly coverage probability
GO bond issuance,-7,0.0809248554913295,0.0302244333594207,0.021684966106865,0.140164744875794,346,101,Raw monthly coverage probability
GO bond issuance,-6,0.0751445086705202,0.0290606407467682,0.0181856528068545,0.132103364534186,346,101,Raw monthly coverage probability
