event_type,event_id,seed_issuer,event_date,event_size,event_instance,event_time,calendar_date,calendar_year,calendar_month,rp_article_count,rp_article_count_winsorized,any_bond_coverage,baseline_coverage,baseline_article_count,coverage_change_pp,article_count_change
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-18,2013-11-01,2013,11,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-17,2013-12-01,2013,12,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-16,2014-01-01,2014,1,1,1,1,0.333333333333333,0.333333333333333,66.6666666666667,0.666666666666667
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-15,2014-02-01,2014,2,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-14,2014-03-01,2014,3,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-13,2014-04-01,2014,4,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-12,2014-05-01,2014,5,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-11,2014-06-01,2014,6,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|8,abilene tex,2015-05-01,9,8,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|9,abilene tex,2015-05-01,9,9,-10,2014-07-01,2014,7,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|1,abilene tex,2015-05-01,9,1,-9,2014-08-01,2014,8,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|2,abilene tex,2015-05-01,9,2,-9,2014-08-01,2014,8,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|3,abilene tex,2015-05-01,9,3,-9,2014-08-01,2014,8,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|4,abilene tex,2015-05-01,9,4,-9,2014-08-01,2014,8,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|5,abilene tex,2015-05-01,9,5,-9,2014-08-01,2014,8,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|6,abilene tex,2015-05-01,9,6,-9,2014-08-01,2014,8,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
Bond election,Bond election|abilene tex|24185|7,abilene tex,2015-05-01,9,7,-9,2014-08-01,2014,8,0,0,0,0.333333333333333,0.333333333333333,-33.3333333333333,-0.333333333333333
