table,outcome,term,cluster,estimate,se,t,p,stars,n,states,state_years,groups
issuer border debt/yield,Pct UTGO,city_go_vote,state-year,-0.328,0.092,-3.57,0.005,***,354,11,11,13
issuer border debt/yield,Pct UTGO,city_go_vote,state,-0.328,0.092,-3.57,0.005,***,354,11,11,13
issuer border debt/yield,Yield spread,city_go_vote,state-year,0.262,0.108,2.43,0.035,**,352,11,11,13
issuer border debt/yield,Yield spread,city_go_vote,state,0.262,0.108,2.43,0.035,**,352,11,11,13
point-in-time border 2017,Pct UTGO,city_go_vote,state-year,-0.341,0.031,-11.12,0,***,397,14,14,14
point-in-time border 2017,Pct UTGO,city_go_vote,state,-0.341,0.031,-11.12,0,***,397,14,14,14
point-in-time border 2017,Pct Revenue,city_go_vote,state-year,0.135,0.065,2.08,0.058,*,397,14,14,14
point-in-time border 2017,Pct Revenue,city_go_vote,state,0.135,0.065,2.08,0.058,*,397,14,14,14
point-in-time border 2017,Yield spread,city_go_vote,state-year,0.297,0.094,3.17,0.007,***,319,14,14,14
point-in-time border 2017,Yield spread,city_go_vote,state,0.297,0.094,3.17,0.007,***,319,14,14,14
point-in-time border 2017,Census total debt,city_go_vote,state-year,-1.88,0.276,-6.8,0,***,440,14,14,14
point-in-time border 2017,Census total debt,city_go_vote,state,-1.88,0.276,-6.8,0,***,440,14,14,14
point-in-time border 2012,Pct UTGO,city_go_vote,state-year,-0.329,0.124,-2.65,0.024,**,265,11,11,13
point-in-time border 2012,Pct UTGO,city_go_vote,state,-0.329,0.124,-2.65,0.024,**,265,11,11,13
point-in-time border 2012,Pct Revenue,city_go_vote,state-year,0.315,0.109,2.9,0.016,**,265,11,11,13
point-in-time border 2012,Pct Revenue,city_go_vote,state,0.315,0.109,2.9,0.016,**,265,11,11,13
point-in-time border 2012,Yield spread,city_go_vote,state-year,0.286,0.184,1.55,0.151,"",220,11,11,13
point-in-time border 2012,Yield spread,city_go_vote,state,0.286,0.184,1.55,0.151,"",220,11,11,13
point-in-time border 2012,Census total debt,city_go_vote,state-year,-1.028,0.471,-2.19,0.054,*,326,11,11,13
point-in-time border 2012,Census total debt,city_go_vote,state,-1.028,0.471,-2.19,0.054,*,326,11,11,13
trade before maturity border,Any trade,city_go_vote,state-year,0.088,0.03,2.91,0.004,***,12617,13,138,15
trade before maturity border,Any trade,city_go_vote,state,0.088,0.022,3.93,0.002,***,12617,13,138,15
trade before maturity border,Retail trade,city_go_vote,state-year,0.081,0.033,2.48,0.014,**,12617,13,138,15
trade before maturity border,Retail trade,city_go_vote,state,0.081,0.031,2.64,0.021,**,12617,13,138,15
trade before maturity border,Institutional trade,city_go_vote,state-year,0.033,0.027,1.24,0.218,"",12617,13,138,15
trade before maturity border,Institutional trade,city_go_vote,state,0.033,0.01,3.22,0.007,***,12617,13,138,15
