dropped_state,estimate,statistic,p_value,n
AK,0.0469813051909931,1.92164228450204,0.0641955156664093,48501
AL,0.0499787582752496,2.04978919622086,0.0492146970064277,49015
AR,0.0513897388855155,2.09576865233749,0.0446436204807024,49085
AZ,0.0416560915105521,1.77192710122349,0.0865645838883532,47619
CA,0.0485865096411989,1.94226479872839,0.0615450614937264,48029
CO,0.0496728476666646,2.02005316187084,0.0523861985962795,48876
FL,0.0454908362189534,1.8607368375293,0.0726083885163742,48207
GA,0.0507193017207923,2.04322641401008,0.0498997287346046,48564
ID,0.0513115412776879,2.08377826811091,0.0457979146615376,48966
KY,0.0516044637676432,2.04946515635587,0.0492483252073074,48091
LA,0.0515422960651105,2.09789197240391,0.0444419198726254,48903
MA,0.0526955180403866,1.94876395974837,0.0607297300039315,46038
MI,0.0459777542910211,1.82193432799938,0.0784490449661327,47285
MO,0.060279411918616,2.52268298782797,0.0171832138569964,47416
MS,0.0446932652839435,1.68250024810875,0.102853301567833,47081
MT,0.0512675593507536,2.08179510057102,0.0459913554936534,48899
NC,0.0502011813537673,1.95871208962868,0.059499928810947,46904
NE,0.0562604916367388,2.10446667243379,0.0438224821134342,46116
NH,0.0582081322912058,2.51935192069469,0.0173173182485783,47847
NJ,0.0666960960141943,2.82829514138579,0.00826001286687264,43881
NM,0.0538457898811041,2.18623489511416,0.0367351776197596,48620
OH,0.0531152480449042,2.14826071680536,0.0398883853678171,48341
OK,0.0640334039830456,2.72916495683675,0.0105176130299056,47038
OR,0.0495462026442656,1.97843387986901,0.0571259300015101,48012
SD,0.0511818130954379,2.08677757416276,0.0455067259663246,49039
TN,0.0478464494378831,1.79895874357736,0.0820932943992411,46145
TX,0.0502169806903121,2.01058790821799,0.0534327146295554,48476
UT,0.0522553266503801,2.10374701147418,0.0438899100412084,48769
VT,0.049689307667572,2.01038394064707,0.0534554665484241,48797
WA,0.0528048113131344,2.11088755990631,0.0432249386493816,48545
WI,0.026643200888001,0.800904642869029,0.429484536092098,35818
WY,0.0517563186522599,2.10753605322105,0.0435359299331082,49053
